"","Fcasted_dates","Point Forecast","Lo 95","Hi 95","Model","weekday"
"Dec 2023",2023-12-01,1401360.48950523,1282543.31561406,1520177.66339639,"TBATS","Fri"
"Jan 2024",2024-01-01,1303203.2396408,1135425.45896039,1470981.0203212,"TBATS","Mon"
"Feb 2024",2024-02-01,1262001.25651991,1055322.40950386,1468680.10353596,"TBATS","Thu"
"Mar 2024",2024-03-01,1360211.13411045,1120430.35360113,1599991.91461977,"TBATS","Fri"
"Apr 2024",2024-04-01,1308045.91393264,1040034.61022549,1576057.21763978,"TBATS","Mon"
"May 2024",2024-05-01,1362032.04278203,1068386.33559012,1655677.74997394,"TBATS","Wed"
"Jun 2024",2024-06-01,1371877.98408939,1054596.19397673,1689159.77420204,"TBATS","Sat"
"Jul 2024",2024-07-01,1376779.59390784,1037988.33008481,1715570.85773087,"TBATS","Mon"
"Aug 2024",2024-08-01,1324815.94484205,965370.353614984,1684261.53606913,"TBATS","Thu"
"Sep 2024",2024-09-01,1303393.57652645,924829.136158113,1681958.01689479,"TBATS","Sun"
"Oct 2024",2024-10-01,1369497.94601015,972699.096997697,1766296.79502259,"TBATS","Tue"
"Nov 2024",2024-11-01,1288553.58356505,874085.443791544,1703021.72333856,"TBATS","Fri"
